altura,14,17,20,25,30,40,50,60
153,44.90,51.70,55.70,58.40,59.70,61.10,62.00,60.70
154,45.60,52.10,56.20,58.90,60.30,61.60,62.50,61.20
155,46.30,52.60,56.70,59.50,60.80,62.20,63.10,61.70
156,47.20,53.20,57.20,60.00,61.30,62.70,63.60,62.20
157,48.10,53.70,57.80,60.50,61.90,63.20,64.10,62.80
158,49.00,54.30,58.40,61.20,62.50,63.90,64.70,63.30
159,49.90,55.10,59.10,61.90,63.20,64.50,65.20,63.90
160,50.80,55.80,59.90,62.60,63.90,65.30,65.80,64.40
161,51.70,56.50,60.60,63.10,64.70,66.00,66.50,65.10
162,52.60,57.20,61.30,63.70,65.40,66.70,67.20,65.80
163,53.50,58.00,61.90,64.20,66.10,67.50,67.90,66.60
164,54.40,58.70,62.50,64.80,66.80,68.20,68.60,67.30
165,55.30,59.40,63.00,65.30,67.50,68.90,69.40,68.00
166,56.10,60.10,63.50,66.00,68.20,69.60,70.00,67.70
167,57.00,60.80,64.10,66.70,68.90,70.30,70.80,69.40
168,57.90,61.60,64.60,67.30,69.70,71.10,71.50,70.20
169,58.80,62.20,65.10,67.90,70.40,72.00,72.40,71.10
170,59.70,62.90,65.70,68.40,71.10,72.90,73.30,72.00
171,60.60,63.60,66.40,69.10,71.80,73.60,74.10,72.70
172,61.50,64.30,67.10,69.80,72.50,74.30,74.80,73.40
173,62.40,65.10,67.80,70.50,73.20,75.00,75.50,74.20
174,63.30,65.80,68.50,71.20,73.90,75.80,76.20,75.10
175,64.20,66.50,69.20,71.90,74.70,76.50,76.90,76.00
176,64.90,67.20,69.90,72.60,75.50,77.30,77.80,76.90
177,65.70,67.90,70.60,73.40,76.50,78.20,78.70,77.80
178,66.40,68.60,71.40,74.10,77.30,79.10,79.60,78.70
179,67.10,69.30,72.10,74.80,78.00,79.80,80.50,79.50
180,67.80,70.10,72.80,75.50,78.70,80.50,81.30,80.40
181,68.50,70.90,73.60,76.30,79.50,81.30,82.20,81.30
182,69.20,71.80,74.50,77.20,80.40,82.20,83.10,82.20
183,70.00,72.70,75.40,78.10,81.30,83.10,84.00,83.10
184,70.90,73.40,76.10,79.00,82.00,83.80,84.70,84.00
185,71.70,74.10,76.80,79.90,82.70,84.50,85.40,84.90
186,72.60,74.80,77.50,80.80,83.50,85.30,86.20,85.80
187,73.50,75.50,78.20,81.70,84.40,86.20,87.10,86.70
188,74.40,76.20,79.90,82.60,85.30,87.10,88.00,87.60
189,75.30,76.90,79.70,83.30,86.20,88.00,88.90,88.50
190,76.20,77.70,80.40,84.00,87.10,88.90,89.80,89.40
191,77.10,78.40,81.00,84.70,88.10,89.90,90.80,90.30
